image_path,label
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\3400.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\5068.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\2438.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\2337.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\6504.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\2693.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\2248.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\6748.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\446.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\5386.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\2856.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\684.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\6394.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\7268.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\6027.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\6880.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\364.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\7780.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\5318.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\7275.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\2767.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\2284.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\5957.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\7817.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\8075.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\7205.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\7756.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\4290.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\329.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\7407.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\3639.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\2463.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\8856.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\4241.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\768.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\2364.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\9985.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\9240.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\1273.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\43.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\9276.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\6978.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\9186.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\664.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\5687.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\9779.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\1963.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\6104.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\1315.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\5569.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\606.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\5914.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\4789.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\8227.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\4886.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\205.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\9896.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\4000.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\850.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\4098.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\2679.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\5932.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\1958.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\4080.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\1753.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\3481.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\1109.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\9550.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\2179.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\286.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\4381.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\229.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\8984.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\9350.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\9998.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\4965.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\3153.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\9072.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\8961.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\1542.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\1728.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\9698.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\348.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\468.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\8725.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\9490.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\8263.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\8017.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\6617.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\7179.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\9914.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\9754.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\2913.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\3135.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\6433.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\3691.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\5523.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\1497.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\829.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\4637.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\5905.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\2964.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\8345.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\3139.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\3879.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\6886.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\4063.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\4881.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\3629.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\14.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\4057.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\5024.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\3892.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\8443.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\1052.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\5749.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\4203.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\2742.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\3432.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\5449.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\4116.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\8002.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\5738.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\5892.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\5861.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\4787.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\354.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\2400.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\6070.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\1871.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\3172.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\3768.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\5391.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\2485.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\9603.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\8348.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\8126.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\7692.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\9319.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\9476.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\5456.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\3754.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\7479.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\4693.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\8410.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\4989.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\44.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\7573.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\4691.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\1929.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\2156.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\121.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\2610.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\1716.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\3006.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\1249.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\3847.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\3196.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\5291.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\1665.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\1911.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\6507.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\6146.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\9972.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\8996.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\3046.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\6615.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\3933.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\2718.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\3580.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\1769.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\6798.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\5849.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\9979.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\3129.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\5873.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\581.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\3334.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\338.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\1324.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\6530.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\5709.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\3661.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\7072.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\6929.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\2830.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\8568.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\8267.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\3916.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\5057.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\5958.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\6172.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\5209.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\9147.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\6891.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\4882.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\1017.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\7948.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\6631.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\615.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\5739.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\7277.jpg,cat
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\8657.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\8414.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Dog\1115.jpg,dog
C:/Users/megag/Documents/Curso IA/Curso Avanzado/Deep Learning Clasification/Cat\5740.jpg,cat
